artist	album
Up10tion	Novella
Kep1er	First Impact
Onewe	Planet Nine: Voyager
ASP	Placebo
Omega X	Love Me Like
SixTones	City
Burial	Antidawn
Montana of 300	Rap God
Dope Lemon	Rose Pink Cadillac
Gunna	DS4Ever
Inna	Champagne Problems #DQH1
RuPaul	Mamaru
Spector	Now or Whenever
Tony Malaby's Sabino	The Cave of Winds
Twin Atlantic	Transparency
The Weeknd	Dawn FM
Yuuri	Ichi
Excision	Onyx
Anna von Hausswolff	Live at Montreux Jazz Festival
Blood Red Shoes	Ghosts on Tape
Bonobo	Fragments
Cat Power	Covers
Cordae	From a Birds Eye View
Drew Holcomb & Ellie Holcomb	Coming Home: A Collection of Songs
Earl Sweatshirt	Sick!
Eliza Gilkyson	Songs from the River Wind
Elvis Costello & The Imposters	The Boy Named If
Enterprise Earth	The Chosen
Fickle Friends	Are We Gonna Be Alright?
FKA Twigs	Caprisongs
The Lumineers	Brightside
Magnum	The Monster Roars
Tony Martin	Thorns
Underoath	Voyeurist
The Wombats	Fix Yourself, Not the World
Molly Nilsson	Extreme
Moonbyul	6equence
Hikaru Utada	Bad Mode
Pedro the Lion	Havasu
Rich Brian	Brightside
Aoife O'Donovan	Age of Apathy
Aurora	The Gods We Can Touch
Billy Talent	Crisis of Faith
Boris	W
Christina Aguilera	La Fuerza
Iann Dior	On to Better Things
Iced Earth	A Narrative Soundscape
Janis Ian	The Light at the End of the Line
John Mellencamp	Strictly a One-Eyed Jack
Kiefer Sutherland	Bloor Street
King Gizzard & the Lizard Wizard	Butterfly 3001
Miles Kane	Change the Show
Palace	Shoals
Paul Oakenfold	Shine On
The Sherlocks	World I Understand
Silvana Estrada	Marchita
Walker Hayes	Country Stuff the Album
Yard Act	The Overload
Years & Years	Night Call
YoungBoy Never Broke Again	Colors
Scandal	Mirror
Glaive	Old Dog, New Tricks
Aaron Lewis	Frayed at Both Ends
Amber Mark	Three Dimensions Deep
Anaïs Mitchell	Anaïs Mitchell
Bad Suns	Apocalypse Whenever
Beirut	Artifacts
Earthless	Night Parade of One Hundred Demons
Eels	Extreme Witchcraft
Five	Time
Gigi De Lana	Gigi De Lana
Jethro Tull	The Zealot Gene
Katie Dey	Forever Music
Krallice	Crystalline Exhaustion
Kyle	It's Not So Bad
Maddie & Tae	Through the Madness, Vol. 1
Madrugada	Chimes at Midnight
MØ	Motordrome
NLE Choppa	Me vs. Me
Pinegrove	11:11
Sebastián Yatra	Dharma
St. Paul and The Broken Bones	The Alien Coast
Steve Vai	Inviolate
Ayaka	Love Cycle
Airi Suzuki	26/27
Cynhn	Blue Cresc.
Milet	Visions
2 Chainz	Dope Don't Sell Itself
Animal Collective	Time Skiffs
As It Is	I Went to Hell and Back
Bastille	Give Me the Future
Beam	Alien
Black Country, New Road	Ants from Up There
Cate Le Bon	Pompeii
Circa Survive	A Dream About Death
Dr. Dre	Grand Theft Auto: The Contract
Jennifer Lopez and Maluma	Marry Me
Junglepussy	JP5000
Korn	Requiem
Marissa Nadler	The Wrath of the Clouds
Mitski	Laurel Hell
A Place to Bury Strangers	See Through You
Rolo Tomassi	Where Myth Becomes Memory
Saba	Few Good Things
Saxon	Carpe Diem
The Slow Show	Still Life
Venom Prison	Erebos
Yeule	Glitch Princess
J. Holiday	Time
Liyuu	Fo (u) r YuU
Alt-J	The Dream
Amorphis	Halo
Amos Lee	Dreamland
Author & Punisher	Krüller
Big Thief	Dragon New Warm Mountain I Believe in You
Cult of Luna	The Long Road North
Eddie Vedder	Earthling
Foxes	The Kick
Frank Turner	FTHC
Graace	Self Preservation
Half Alive	Give Me Your Shoulders Pt. 1
Joss Stone	Never Forget My Love
Joywave	Cleanse
Kim Petras	Slut Pop
Mary J. Blige	Good Morning Gorgeous
Maverick City Music	Breathe
Once Human	Scar Weaver
Raveena	Asha's Awakening
Shamir	Heterosexuality
Slash feat. Myles Kennedy & The Conspirators	4
Snoop Dogg	BODR
Snot	Ethereal
Spoon	Lucifer on the Sofa
Trentemøller	Memoria
Voivod	Synchro Anarchy
Wilkinson	Cognition
Zeal & Ardor	Zeal & Ardor
Apink	Horn
Taeyeon	INVU
Black Dresses	Forget Your Own Face
Alice Glass	Prey//IV
Team Shachi	Team
Annihilator	Metal II
Beach House	Once Twice Melody
Big K.R.I.T.	Digital Roses Don't Die
Bloodywood	Rakshak
Bobby Weir & Wolf Bros	Live in Colorado
Broods	Space Island
Esprit D'Air	Oceans
Hurray for the Riff Raff	Life on Earth
Immolation	Acts of God
Josef Salvat	Islands
Khruangbin and Leon Bridges	Texas Moon
Lavender Country	Blackberry Rose
Metronomy	Small World
Midnight Oil	Resist
Oliver Tree	Cowboy Tears
Said the Sky	Sentiment
Sally Shapiro	Sad Cities
Sea Power	Everything Was Forever
Star One	Revel in Time
White Lies	As I Try Not to Fall Apart
Yeat	2 Alive
STAYC	Young-Luv.com
Nmixx	Ad Mare
Parannoul	White Ceiling / Black Dots Wandering Around
Ai	Dream
Billlie	The Collective Soul and Unconscious: Chapter One
Super Beaver	Tokyo
Kanye West	Donda 2
Adult	Becoming Undone
Allegaeon	Damnum
Avril Lavigne	Love Sux
Bad Omens	The Death of Peace of Mind
Basia Bulat	The Garden
Beth Hart	A Tribute to Led Zeppelin
Blood Incantation	Timewave Zero
Brooke Ligertwood	Seven
caroline	caroline
Carson McHone	Still Life
Central Cee	23
Conway the Machine	God Don't Make Mistakes
Corey Taylor	CMFB ...Sides
D'Virgilio, Morse & Jennings	Troika
Dashboard Confessional	All the Truth That I Can Tell
EarthGang	Ghetto Gods
Gang of Youths	Angel in Realtime
Guns N' Roses	Hard Skool
HammerFall	Hammer of Dawn
Johnny Marr	Fever Dreams Pts 1-4
Judy Collins	Spellbound
Kodak Black	Back for Everything
Mom Jeans	Sweet Tooth
Robert Glasper	Black Radio 3
Sasami	Squeeze
Scorpions	Rock Believer
Sevdaliza	Raving Dahlia
Superchunk	Wild Loneliness
Tears for Fears	The Tipping Point
Cherry Bullet	Cherry Wish
The Cool Kids	Before Shit Got Weird
10 Years	Deconstructed
Band of Horses	Things Are Great
Benee	Lychee EP
Bob Moses	The Silence in Between
Cécile McLorin Salvant	Ghost Song
Charlotte Adigéry and Bolis Pupul	Topical Dancer
Cloud Cult	Metamorphosis
Crowbar	Zero and Below
Cruel Santino	Subaru Boys: Final Heaven
DaBaby and YoungBoy Never Broke Again	Better Than You
Danielle Bradbery	In Between: The Collection
The Dead South	Easy Listening for Jerks, Part 1
The Dead South	Easy Listening for Jerks, Part 2
Diplo	Diplo
Dolly Parton	Run, Rose, Run
Elevation Worship	Lion
El Ten Eleven	New Year's Eve
The Flower Kings	By Royal Decree
Guided by Voices	Crystal Nuns Cathedral
İlhan Erşahin, Dave Harrington & Kenny Wollesen	Invite Your Eye
Just Friends	Hella
King Von	What It Means to Be King
Kojey Radical	Reason to Smile
Krewella	The Body Never Lies
Léon	Circles
Luna Li	Duality
Madi Diaz	Same History, New Feelings
Marillion	An Hour Before It's Dark
Maylee Todd	Maloo
Melissa Aldana	12 Stars
Mike Campbell & The Dirty Knobs	External Combustion
Nilüfer Yanya	Painless
Oh Hiroshima	Myriad
Peach Pit	From 2 to 3
RZA & DJ Scratch	Saturday Afternoon Kung Fu Theater
Sabaton	The War to End All Wars
Smoke DZA	Driplomatic Immunity
Somi	Zenzile: The Reimagination of Miriam Makeba
Songs: Ohia	Live: Vanquishers
Stereophonics	Oochya!
Stromae	Multitude
Trip Lee	The End
Ty Tabor	Shades
Vein.fm	This World Is Going to Ruin You
Vio-lence	Let the World Burn
The Weather Station	How Is It That I Should Look at the Stars
Your Old Droog	YOD Wave
Zander Schloss	Songs About Songs
King Gizzard & the Lizard Wizard	Made in Timeland
Troglodyte	The Hierarchical Ecological Succession: Welcome to the Food Chain
Masaki Suda	Collage
Milet	Flare
Lucky Daye	Candydrip
Alex Cameron	Oxy Music
Ben Abraham	Friendly Fire
Benny the Butcher	Tana Talk 4
Black Pantera	Ascensão
The Boo Radleys	Keep On with Falling
Brandon Boyd	Echoes & Cocoons
Bryan Adams	So Happy It Hurts
Charlie Collins	Undone
Dallas Woods	Julie's Boy
The Districts	Great American Painting
Drake White	The Optimystic
Drug Church	Hygiene
Ella Henderson	Everything I Didn't Say
Elzhi & Georgia Anne Muldrow	Zhigeist
Ferris & Sylvester	Superhuman
Fly Anakin	Frank
For King & Country	What Are We Waiting For?
Ghost	Impera
Hank Williams	I'm Gonna Sing: The Mother's Best Gospel Radio Recordings
Hoodoo Gurus	Chariot of the Gods
Ho99o9	Skin
Inna	Champagne Problems #DQH2
Jenny Hval	Classic Objects
Khontkar and Downtown Dion	Fire Department
Kxng Crooked and Joell Ortiz	Rise & Fall of Slaughterhouse
Lil Durk	7220
Men Without Hats	Again (Part 2)
The Mysterines	Reeling
Nick Mono	The Sun Won't Stay After Summer
Orion Sun	Getaway
Rex Orange County	Who Cares?
Set It Off	Elsewhere
Shaman's Harvest	Rebelator
Shenseea	Alpha
The Shires	10 Year Plan
Swim Deep	Familiarise Yourself with Your Closest Exit
Tapani Rinne and Juha Mäki-Patola	Open
Tony Monaco	Four Brothers
Taylor Alxndr	1993
Team Me	Something in the Making
Thomas Headon	Victoria
Trey Anastasio	Mercy
Upsahl	This Is My First Live Album
Widowspeak	The Jacket
The Wiggles	ReWiggled
Wolves at the Gate	Eulogies
Yelawolf and Shooter Jennings	Sometimes Y
(G)I-dle	I Never Die
Midwxst	Better Luck Next Time.
Agathodaimon	The Seven
ArrDee	Pier Pressure
Audio Karate	¡Otra!
Ben Lukas Boysen	Clarion
Charli XCX	Crash
Cypress Hill	Back in Black
Dark Funeral	We Are the Apocalypse
Feeder	Torpedo
Gayle	A Study of the Human Experience Volume One
Hailey Whitters	Raised
Little Boots	Tomorrow's Yesterdays
Midlake	For the Sake of Bethel Woods
Pictish Trail	Island Family
Rosalía	Motomami
Sea Girls	Homesick
Sonic Youth	In/Out/In
Stabbing Westward	Chasing Ghosts
Stray Kids	Oddinary
Svdden Death	Voyd II
Weezer	SZNZ: Spring
Kid Rock	Bad Reputation
Phife Dawg	Forever
Bellows	Next of Kin
Fujii Kaze	Love All Serve All
Shiritsu Ebisu Chugaku	Shiritsu Ebisu Chugaku
Sid	Umibe
Kenia Os	Cambios de luna
Daddy Yankee	Legendaddy
Aldous Harding	Warm Chris
Animals as Leaders	Parrhesia
Buddy	Superghetto
Coin	Uncanny Valley
Denzel Curry	Melt My Eyez See Your Future
Destroyer	Labyrinthitis
Dream Widow	Dream Widow
Guerilla Toss	Famously Alive
Hardcore Superstar	Abrakadabra
Ibibio Sound Machine	Electricity
Kavinsky	Reborn
Keshi	Gabriel
Kilo Kish	American Gurl
Koffee	Gifted
Latto	777
Machine Gun Kelly	Mainstream Sellout
Maren Morris	Humble Quest
Michael Bublé	Higher
Michael Romeo	War of the Worlds, Pt. 2
Nigo	I Know Nigo!
Placebo	Never Let Me Go
Reckless Love	Turborider
Sofia Carson	Sofia Carson
Wallows	Tell Me That It's Over
Xavier Rudd	Jan Juc Moon
NCT Dream	Glitch Mode
Oh My Girl	Real Love
Purple Kiss	MemeM
Sakanaction	Adapt
Dreamville and DJ Drama	D-Day: A Gangsta Grillz Mixtape
µ-Ziq	Goodbye
Christian Lee Hutson	Quitters
Confidence Man	Tilt
Duster	Together
Islander	It's Not Easy Being Human
Lights	Pep
Meshuggah	Immutable
Miley Cyrus	Attention: Miley Live
Nekrogoblikon	The Fundamental Slimes and Humours
PUP	The Unraveling of PUPTheBand
Red Hot Chili Peppers	Unlimited Love
Sundara Karma	Oblivion!
Thomas Rhett	Where We Started
Wolf	Shadowland
Red Velvet	Bloom
42 Dugg and EST Gee	Last Ones Left
Archive	Call to Arms & Angels
Banks	Serpentina
Billy Woods	Aethiopes
Calexico	El Mirador
Camila Cabello	Familia
Cody Simpson	Cody Simpson
Coi Leray	Trendsetter
Cole Swindell	Stereotype
Daniel Rossen	You Belong There
Destruction	Diabolical
Father John Misty	Chloë and the Next 20th Century
Fergus McCreadie	Forest Floor
Fivio Foreign	B.I.B.L.E.
Girl Talk, Wiz Khalifa, Big K.R.I.T., and Smoke DZA	Full Court Press
Hayden James	Lifted
Jack White	Fear of the Dawn
Josh Ramsay	The Josh Ramsay Show
Kae Tempest	The Line Is a Curve
Kylie Minogue	Infinite Disco
Lizzy McAlpine	Five Seconds Flat
Lucius	Second Nature
Omar Apollo	Ivory
Orville Peck	Bronco
Papa Roach	Ego Trip
The Regrettes	Further Joy
Role Model	Rx
Short Stack	Maybe There's No Heaven
Son Lux	Everything Everywhere All at Once (Original Motion Picture Soundtrack)
Vince Staples	Ramona Park Broke My Heart
Wet Leg	Wet Leg
Whatever the Weather	Whatever the Weather
Yung Lean	Stardust
Anitta	Versions of Me
Dreamcatcher	Apocalypse: Save Us
Milica Pavlović	Posesivna
Sault	Air
SennaRin	Dignified
Bülow	Booty Call
Alec Benjamin	(Un)commentary
Alex G	We're All Going to the World's Fair Soundtrack
The Crystal Method	The Trip Out
Fredo Bang	Two-Face Bang 2
Jewel	Freewheelin' Woman
Kurt Vile	Watch My Moves
Spanish Love Songs	Brave Faces Etc.
Swedish House Mafia	Paradise Again
Tim Kasher	Middling Age
Vundabar	Devil for the Fire
Mdou Moctar	Afrique Refait
Juice=Juice	Terzo
Little Glee Monster	Journey
Lyrical School	L.S.
Redveil	Learn 2 Swim
Anne Wilson	My Jesus
Bonnie Raitt	Just Like That...
Bowling for Soup	Pop Drunk Snot Bread
Daniel Johns	FutureNever
Dorothy	Gifts from the Holy Ghost
Fontaines D.C.	Skinty Fia
Hatchie	Giving the World Away
Jason Aldean	Georgia
Kathryn Joseph	For You Who Are the Wronged
King Gizzard & the Lizard Wizard	Omnium Gatherum
Lisa Mitchell	A Place to Fall Apart
Northlane	Obsidian
Ocean Grove	Up in the Air Forever
Primus	Conspiranoid
Psychedelic Porn Crumpets	Night Gnomes
Pusha T	It's Almost Dry
Spiritualized	Everything Was Beautiful
Kirk Hammett	Portals
Sun's Signature (Elizabeth Fraser and Damon Reece)	Sun's Signature
Action Bronson	Cocodrillo Turbo
Ann Wilson	Fierce Bliss
Bloc Party	Alpha Games
Blossoms	Ribbon Around the Bomb
Charlie Collins	Undone
Cory Wong	Power Station
Dana Fuchs	Borrowed Time
Faye Webster	Car Therapy Sessions
Future	I Never Liked You
Kehlani	Blue Water Road
Kelly Lee Owens	LP.8
Let's Eat Grandma	Two Ribbons
Mansionair	Happiness, Guaranteed
Martin Garrix	Sentio
Melody's Echo Chamber	Emotional Eternal
Miranda Lambert	Palomino
MJ Lenderman	Boat Songs
Psy	Psy 9th
Rammstein	Zeit
Robin Trower	No More Worlds to Conquer
Röyksopp	Profound Mysteries
Sofi Tukker	Wet Tennis
Ted Nugent	Detroit Muscle
Toro y Moi	Mahal
William Basinski and Janek Schaefer	...On Reflection
Willie Nelson	A Beautiful Time
Le Sserafim	Fearless
Black Star	No Fear of Time
!!!	Let It Be Blue
Alison Wonderland	Loner
John Scofield	John Scofield
Arcade Fire	We
Bad Bunny	Un Verano Sin Ti
Belle and Sebastian	A Bit of Previous
Ella Mai	Heart on My Sleeve
Emeli Sandé	Let's Say for Instance
The Feeling	Loss. Hope. Love.
Flor	Future Shine
Fozzy	Boombox
Halestorm	Back from the Dead
Hermitude	Mirror Mountain
Ibeyi	Spell 31
IDK	Simple
Jack Harlow	Come Home the Kids Miss You
Neil Young	Citizen Kane Jr. Blues (Live at The Bottom Line)
Neil Young	Dorothy Chandler Pavilion
Neil Young	Royce Hall
Otoboke Beaver	Super Champon
Rolling Blackouts Coastal Fever	Endless Rooms
Sabrina Claudio	Based on a Feeling
Sharon Van Etten	We've Been Going About This All Wrong
Sigrid	How to Let Go
Silverstein	Misery Made Me
Simple Plan	Harder Than It Looks
Soft Cell	Happiness Not Included
Stand Atlantic	F.E.A.R.
Sunflower Bean	Headful of Sugar
Timothy B. Schmit	Day by Day
Three Days Grace	Explosions
Warpaint	Radiate Like This
Windwaker	Love Language
Taichi Mukai	Antidote
Ethel Cain	Preacher's Daughter
Alaska Thunderfuck	Drag: The Musical
Ayokay	Digital Dreamscape
Bear's Den	Blue Hours
Becky G	Esquemas
The Black Keys	Dropout Boogie
Brandon Lake	Help!
The Bros. Landreth	Come Morning
The Chainsmokers	So Far So Good
Florence and the Machine	Dance Fever
Kendrick Lamar	Mr. Morale & the Big Steppers
Kevin Morby	This Is a Photograph
Luke Steele	Listen to the Water
Mandy Moore	In Real Life
Mary Halvorson	Amaryllis
Mary Halvorson	Belladonna
Moderat	More D4ta
Obongjayar	Some Nights I Dream of Doors
Quelle Chris	Deathfame
The Smile	A Light for Attracting Attention
Tank and the Bangas	Red Balloon
They Hate Change	Finally, New
Two Feet	Shape & Form
Momoiro Clover Z	Shukuten
Novelbright	Assort
Static Dress	Rouge Carpet Disaster
Tofubeats	Reflection
Anvil	Impact Is Imminent
Avi Kaplan	Floating on a Dream
Craig Finn	A Legacy of Rentals
Dave Stewart	Ebony McQueen
Delta Spirit	One Is One
Everything Everything	Raw Data Feel
Flume	Palaces
Harry Styles	Harry's House
Lykke Li	Eyeye
Mavis Staples and Levon Helm	Carry Me Home
Porridge Radio	Waterslide, Diving Board, Ladder to the Sky
Ravyn Lenae	Hypnos
Soak	If I Never Know You Like This Again
Steve Earle & The Dukes	Jerry Jeff
Train	AM Gold
Uffie	Sunshine Factory
Van Morrison	What's It Gonna Take?
Zach Bryan	American Heartbreak
JO1	Kizuna
Man with a Mission	Break and Cross the Walls II
Alfie Templeman	Mellow Moon
Conway the Machine	Organized Grime 2
Crematory	Inglorious Darkness
Decapitated	Cancer Culture
Def Leppard	Diamond Star Halos
Dehd	Blue Skies
Jukebox the Ghost	Cheers
Just Mustard	Heart Under
Liam Gallagher	C'mon You Know
Liam Gallagher	Down by the River Thames
Marina Satti	Yenna
Mark Tremonti	Mark Tremonti Sings Frank Sinatra
Omar Rudberg	OMR
Seventeen	Face the Sun
Stars	From Capelton Hill
Tate McRae	I Used to Think I Could Fly
UMI	Forest in the City
Wilco	Cruel Country
Cazzu	Nena trampa
Christina Aguilera	La Tormenta
Christina Aguilera	Aguilera
070 Shake	You Can't Kill Me
Andrew Bird	Inside Problems
Angel Olsen	Big Time
Bleed from Within	Shrine
Crobot	Feel This
Drive-By Truckers	Welcome 2 Club XIII
Eleni Foureira	Poli_Ploki
Erica Dawn Lyle + Vice Cooler	Land Trust: Benefit for NEFOC
Gwar	The New Dark Ages
Horsegirl	Versions of Modern Performance
iamamiwhoami	Be Here Soon
Kreator	Hate Über Alles
The Linda Lindas	Growing Up
Post Malone	Twelve Carat Toothache
Poliça	Madness
Purity Ring	Graves
Shintaro Sakamoto	Like a Fable
The Suffers	It Starts with Love
Tash Sultana	MTV Unplugged, Live in Melbourne
Tove Styrke	Hard
Mount Westmore	Mt. Westmore
Haruka Fukuhara	Harukakanatae
Kelly Clarkson	Kellyoke
µ-Ziq	Magic Pony Ride
Billy Howerdel	What Normal Was
Carrie Underwood	Denim & Rhinestones
Dixie	A Letter to Me
Father	Young Hot Ebony 2
George Ezra	Gold Rush Kid
Joyce Manor	40 oz. to Fresno
Judah & the Lion	Revival
Motionless in White	Scoring the End of the World
Neneh Cherry	The Versions
Of Monsters and Men	Tíu
The Range	Mercury
Rise Against	Nowhere Generation II
Severe Torture	Fisting the Sockets
Shearwater	The Great Awakening
Spacey Jane	Here Comes Everybody
Vance Joy	In Our Own Sweet Time
The Wrecks	Sonder
Self Esteem	Prima Facie (Original Theatre Soundtrack)
Ho6la	Sono Ichi
Alanis Morissette	The Storm Before the Calm
Alice Merton	S.I.D.E.S.
Bartees Strange	Farm to Table
Calum Scott	Bridges
Dan Reed Network	Let's Hear It for the King
Drake	Honestly, Nevermind
Flasher	Love Is Yours
Foals	Life Is Yours
Greg Puciato	Mirrorcell
Hazel English	Summer Nights
Hercules and Love Affair	In Amber
Jessie Buckley and Bernard Butler	For All Our Days That Tear the Heart
Krallice	Psychagogue
Logic	Vinyl Days
Maverick City Music and Kirk Franklin	Kingdom Book One
Nick Cave	Seven Psalms
Nova Twins	Supernova
Perfume Genius	Ugly Season
Sound of Ceres	Emerald Sea
TV Priest	My Other People
Westside Boogie	More Black Superheroes
Yaya Bey	Remember Your North Star
Kep1er	Doublast
Loona	Flip That
Weezer	SZNZ: Summer
Imperial Triumphant	Spirit of Ecstasy
Stray Kids	Circus
Alestorm	Seventh Rum of a Seventh Rum
Alexisonfire	Otherness
Chris Brown	Breezy
Coheed and Cambria	Vaxis – Act II: A Window of the Waking Mind
Conan Gray	Superache
Day Wave	Pastlife
Empress Of	Save Me
Giveon	Give or Take
Jack Johnson	Meet the Moonlight
Katy Nichole	Katy Nichole
Left at London	Transgender Street Legend Volume 3
Luke Combs	Growin' Up
Lupe Fiasco	Drill Music in Zion
Muna	Muna
Nervus	The Evil One
Petrol Girls	Baby
Porcupine Tree	Closure/Continuation
Regina Spektor	Home, Before and After
Soccer Mommy	Sometimes, Forever
Stealing Sheep	Wow Machine
Trixie Mattel	The Blonde & Pink Albums
Various artists	Elvis (Original Motion Picture Soundtrack)
Zola Jesus	Arkhon
Greet Death	New Low
NGT48	Unfinished Future
Blood Command	Praise Armageddonism
The Dear Hunter	Antimai
Fresh	Raise Hell
Guided by Voices	Tremblers and Goggles by Rank
Gwenno	Tresor
Imagine Dragons	Mercury – Act 2
Momma	Household Name
Moor Mother	Jazz Codes
Municipal Waste	Electrified Brain
Paolo Nutini	Last Night in the Bittersweet
Shinedown	Planet Zero
Various artists	Minions: The Rise of Gru (Original Motion Picture Soundtrack)
Coldrain	Nonnegative
Aespa	Girls
Blind Channel	Lifestyles of the Sick & Dangerous
Brent Faiyaz	Wasteland
Burna Boy	Love, Damini
Caterina Barbieri	Spirit Exit
The Faim	Talk Talk
Flo	The Lead
Foxing	Live at the Grandel
James Bay	Leap
Jawbox	The Revisionist EP
Journey	Freedom
Ken Carson	X
Laura Veirs	Found Light
Metric	Formentera
Mrs. Green Apple	Unity
Neil Young and Crazy Horse	Toast
Powerwolf	The Monumental Mass – A Cinematic Metal Event
Rae Morris	Rachel@Fairyland
Renforshort	Dear Amelia
Tasman Keith	A Colour Undone
Tyshawn Sorey Trio	Mesmerism
Viagra Boys	Cave World
Westside Gunn	"Peace ""Fly"" God"
Wet	Pink Room
Yuna	Y3
Chung Ha	Bare & Rare
Naniwa Danshi	1st Love
Ian Sweet	Star Stuff
Alan Parsons	From the New World
...And You Will Know Us by the Trail of Dead	XI: Bleed Here Now
Beabadoobee	Beatopia
Belief (Stella Mozgawa and Boom Bip)	Belief
Black Midi	Hellfire
Chicago	Chicago XXXVIII: Born for This Moment
Deaf Havana	The Present Is a Foreign Land
DJ Premier	Hip Hop 50: Vol 1
Interpol	The Other Side of Make-Believe
Itzy	Checkmate
J-Hope	Jack in the Box
Jeff Beck and Johnny Depp	18
Lil Silva	Yesterday Is Heavy
Lizzo	Special
Lloyd Banks	The Course of the Inevitable 2
Mabel	About Last Night...
Mantar	Pain Is Forever and This Is the End
Ne-Yo	Self Explanatory
Rexx Life Raj	The Blue Hour
Rowdy Rebel	Rowdy Vs. Rebel
Sabrina Carpenter	Emails I Can't Send
Senses Fail	Hell Is in Your Head
Steve Lacy	Gemini Rights
Superorganism	World Wide Pop
Yours Truly	Is This What I Look Like?
Dempagumi.inc	Dempark!!!
Flo Milli	You Still Here, Ho?
Hyuna	Nabillera
Yuki Yomichi	First Snow First Love
Billie Eilish	Guitar Songs
Julien Baker	B-Sides
Alex the Astronaut	How to Grow a Sunflower Underwater
Bananarama	Masquerade
Beach Bunny	Emotional Creature
Cuco	Fantasy Gateway
Jack White	Entering Heaven Alive
Jamie T	The Theory of Whatever
Joey Badass	2000
Nina Nastasia	Riderless Horse
Oceans of Slumber	Starlight and Ash
Odesza	The Last Goodbye
Palisades	Reaching Hypercritical
Rico Nasty	Las Ruinas
She & Him	Melt Away: A Tribute to Brian Wilson
Stan Walker	All In
Ty Segall	Hello, Hi
Perfume	Plasma
Twice	Celebrate
Zico	Grown Ass Kid
Amanda Shires	Take It Like a Man
Ateez	The World EP.1: Movement
Beddy Rays	Beddy Rays
Beyoncé	Renaissance
Domi and JD Beck	Not Tight
Dance Gavin Dance	Jackpot Juicer
Dune Rats	Real Rare Whale
Friendship	Love the Stranger
Hayley Kiyoko	Panorama
King Princess	Hold On Baby
Krisiun	Mortem Solis
Maggie Rogers	Surrender
